State,City,Received,Approved,Denied,Pending,Category,Year,Quarter,Start_date,End_date
Missouri,St. Louis,292,299,42,904,Family,2019,1,2018-10-01,2018-12-31
Montana,Helena,76,384,27,374,Family,2019,1,2018-10-01,2018-12-31
Nebraska,Omaha,261,229,74,774,Family,2019,1,2018-10-01,2018-12-31
Nevada,Las Vegas,809,745,155,4466,Family,2019,1,2018-10-01,2018-12-31
Nevada,Reno,159,210,25,542,Family,2019,1,2018-10-01,2018-12-31
New Hampshire,Manchester,168,149,nan,356,Family,2019,1,2018-10-01,2018-12-31
New Jersey,Mount Laurel,727,673,99,2970,Family,2019,1,2018-10-01,2018-12-31
New Jersey,Newark,3478,2559,666,14044,Family,2019,1,2018-10-01,2018-12-31
New Mexico,Albuquerque,288,342,33,748,Family,2019,1,2018-10-01,2018-12-31
New York,Albany,163,60,nan,539,Family,2019,1,2018-10-01,2018-12-31
New York,Brooklyn,2016,1113,262,13219,Family,2019,1,2018-10-01,2018-12-31
New York,Buffalo,310,215,51,876,Family,2019,1,2018-10-01,2018-12-31
New York,Long Island,1423,924,281,5934,Family,2019,1,2018-10-01,2018-12-31
New York,New York,2891,1532,558,21654,Family,2019,1,2018-10-01,2018-12-31
New York,Queens,2490,3077,416,11821,Family,2019,1,2018-10-01,2018-12-31
North Carolina,Charlotte,751,766,100,2206,Family,2019,1,2018-10-01,2018-12-31
North Carolina,Raleigh,744,502,48,2172,Family,2019,1,2018-10-01,2018-12-31
Ohio,Cincinnati,293,229,36,752,Family,2019,1,2018-10-01,2018-12-31
Ohio,Cleveland,354,333,60,840,Family,2019,1,2018-10-01,2018-12-31
Ohio,Columbus,392,421,60,939,Family,2019,1,2018-10-01,2018-12-31
Oklahoma,Oklahoma City,541,486,59,1160,Family,2019,1,2018-10-01,2018-12-31
Oregon,Portland,743,563,40,2194,Family,2019,1,2018-10-01,2018-12-31
Pennsylvania,Philadelphia,1689,1146,234,8181,Family,2019,1,2018-10-01,2018-12-31
Pennsylvania,Pittsburgh,285,199,19,961,Family,2019,1,2018-10-01,2018-12-31
Rhode Island,Providence,293,476,65,1049,Family,2019,1,2018-10-01,2018-12-31
South Carolina,Charleston,340,366,124,1360,Family,2019,1,2018-10-01,2018-12-31
South Carolina,Greer,200,271,51,591,Family,2019,1,2018-10-01,2018-12-31
Tennessee,Memphis,287,441,55,787,Family,2019,1,2018-10-01,2018-12-31
Tennessee,Nashville,489,408,43,1938,Family,2019,1,2018-10-01,2018-12-31
Texas,Dallas,3125,2211,456,19306,Family,2019,1,2018-10-01,2018-12-31
Texas,El Paso,669,983,114,2280,Family,2019,1,2018-10-01,2018-12-31
Texas,Harlingen,645,745,133,2244,Family,2019,1,2018-10-01,2018-12-31
Texas,Houston,3195,3402,506,20966,Family,2019,1,2018-10-01,2018-12-31
Texas,San Antonio,2135,1664,205,5561,Family,2019,1,2018-10-01,2018-12-31
Utah,Salt Lake City,711,499,54,3646,Family,2019,1,2018-10-01,2018-12-31
Vermont,St. Albans,59,179,16,297,Family,2019,1,2018-10-01,2018-12-31
Virginia,Norfolk,548,525,60,2001,Family,2019,1,2018-10-01,2018-12-31
Washington,Seattle,1303,744,92,7033,Family,2019,1,2018-10-01,2018-12-31
Washington,Spokane,106,92,19,274,Family,2019,1,2018-10-01,2018-12-31
Washington,Yakima,215,219,21,529,Family,2019,1,2018-10-01,2018-12-31
West Virginia,Charleston,0,0,0,0,Family,2019,1,2018-10-01,2018-12-31
Wisconsin,Milwaukee,498,472,56,2221,Family,2019,1,2018-10-01,2018-12-31
Guam,Agana,164,173,16,473,Family,2019,1,2018-10-01,2018-12-31
U.S. Virgin Islands,Charlotte Amalie,24,54,nan,152,Family,2019,1,2018-10-01,2018-12-31
U.S. Virgin Islands,Christiansted,10,0,0,42,Family,2019,1,2018-10-01,2018-12-31
Puerto Rico,San Juan,156,79,13,735,Family,2019,1,2018-10-01,2018-12-31
Service Center,California,0,nan,0,213,Family,2019,1,2018-10-01,2018-12-31
Service Center,National Benefits Center,0,0,0,0,Family,2019,1,2018-10-01,2018-12-31
Service Center,Nebraska,nan,0,0,nan,Family,2019,1,2018-10-01,2018-12-31
Service Center,Potomac,0,0,0,0,Family,2019,1,2018-10-01,2018-12-31
Service Center,Texas,0,0,0,59,Family,2019,1,2018-10-01,2018-12-31
Alabama,Montgomery,510,899,138,2245,Family,2018,4,2018-07-01,2018-09-30
Alaska,Anchorage,108,139,13,312,Family,2018,4,2018-07-01,2018-09-30
Arizona,Phoenix,1176,783,133,6634,Family,2018,4,2018-07-01,2018-09-30
Arizona,Tucson,372,521,38,1356,Family,2018,4,2018-07-01,2018-09-30
Arkansas,Fort Smith,167,179,38,653,Family,2018,4,2018-07-01,2018-09-30
California,Chula Vista,0,0,0,0,Family,2018,4,2018-07-01,2018-09-30
California,Fresno,911,1036,120,2636,Family,2018,4,2018-07-01,2018-09-30
California,Imperial,87,112,nan,172,Family,2018,4,2018-07-01,2018-09-30
